VEHICLE CODE      VEHICLE LITERAL
AUTO-DAEW-G2X      DAEWOO G2X
AUTO-DAEW-KOR      DAEWOO KORANDO
AUTO-DAEW-LAN      DAEWOO LANOS
AUTO-DAEW-LEG      DAEWOO LEGANZA
AUTO-DAEW-NUB      DAEWOO NUBIRA
AUTO-DAEW-U10      DAEWOO U1000
AUTO-DAIH-CHA      DAIHATSU CHARADE
AUTO-DAIH-RKY      DAIHATSU ROCKY (USE TRUCK MAKE CODE)
AUTO-DATS-0        DATSUN PICK-UP
AUTO-DATS-110      DATSUN 110
AUTO-DATS-120      DATSUN 1200
AUTO-DATS-210      DATSUN 210 (OR B-210)
AUTO-DATS-24Z      DATSUN 240Z
AUTO-DATS-260      DATSUN 260Z
AUTO-DATS-280      DATSUN 280Z
AUTO-DATS-2SX      DATSUN 200SX
AUTO-DATS-2ZX      DATSUN 280ZX
AUTO-DATS-310      DATSUN 310
AUTO-DATS-311      DATSUN 311
AUTO-DATS-510      DATSUN 510
AUTO-DATS-610      DATSUN 610
AUTO-DATS-710      DATSUN 710
AUTO-DATS-720      DATSUN 720
AUTO-DATS-810      DATSUN 810
AUTO-DATS-F10      DATSUN F-10
AUTO-DATS-HON      DATSUN HONEY BEE
AUTO-DATS-LIL      DATSUN LI'L HUSTLER
AUTO-DATS-MAX      DATSUN MAXIMA
AUTO-DATS-ROD      DATSUN NULL
AUTO-DAYO-MIG      DAYTONA MIGI
AUTO-DAYO-MOY      DAYTONA MOYA
AUTO-DECO-ROA      DECOURVILLE ROADSTER
AUTO-DELO-DMC      DE LOREAN (IMPORTED FROM BELFA NULL
AUTO-DESO-ADV      DESOTO ADVENTURER
AUTO-DESO-CUS      DESOTO CUSTOM
AUTO-DESO-DEL      DESOTO DELUXE
AUTO-DESO-FRD      DESOTO FIREDOM
AUTO-DESO-FRF      DESOTO FIRELITE
AUTO-DESO-FRS      DESOTO FIRESWEEP
AUTO-DESO-POW      DESOTO POWERMASTER
AUTO-DETO-DEA      DETOMASO DEAUVILLE
AUTO-DETO-LON      DETOMASO LONGCHAMP
AUTO-DETO-MNA      DETOMASO MANGUSTA
AUTO-DETO-PTA      DETOMASO PANTERA
AUTO-DKW-102       DKW F102
AUTO-DKW-AUD       DKW AUDI
AUTO-DKW-DKW       DKW DKW
AUTO-DKW-VEM       DKW VEMAG
AUTO-DLHY-ROD      DELAHAYE ROADSTER
AUTO-DODG-100      DODGE A 100 COMPACT
AUTO-DODG-330      DODGE 330 SERIES
AUTO-DODG-400      DODGE 400 SERIES
AUTO-DODG-440      DODGE 440 SERIES
AUTO-DODG-600      DODGE 600
AUTO-DODG-880      DODGE 880 SERIES
AUTO-DODG-ARI      DODGE ARIES
AUTO-DODG-ASP      DODGE ASPEN
AUTO-DODG-AVN      DODGE AVENGER
AUTO-DODG-CAL      DODGE CALIBER
AUTO-DODG-CHA      DODGE CHARGER (AND SHELBY CHARGER)
AUTO-DODG-CHL      DODGE CHALLENGER
AUTO-DODG-CLT      DODGE COLT (IMPORTED)
